a lô ừ nấu cơm chưa	a lô ừ nấu cơm chưa
ừn ngoàn h bôi	ăn gì ngon há
ban ngủ lại đi ngủ	buồn ngủ lại đi ngủ
tạ ốm má chứ nhà mẹ thi chợa	tại ốm quá chứ mẹ đi chợ à
ờạ	đông vui thế
thếhị chưn cứ k n	thế chứ lị
thằng cu á cu bôn á ở mà cu	thằng cu á cu ốm á nó ốm sao
ờ thằng con nhà chị ấy sao	ờ thằng con nhà chị ấy sao
ờ	à
ừ	ờ
ba mươi tháng tư thì không biết là có được nghỉ không nữa hai chýn thì cán chắnà sẽ được nghỉ rồi còn ba mươi tháng tư có được nghỉ không ba mươi với mùng một không biết có được nghỉ không	ba mươi tháng tư thì không biết là có được nghỉ không nữa hai chín thì chắc chắn là sẽ được nghỉ rồi còn ba mươi tháng tư có được nghỉ không ba mươi với mùng một không biết có được nghỉ không
nhưng mà ai biế có được nghỉ không ví dụ cơ quan nhà nước được nghỉ chứ còn ở đây thì xiêu thị nó phải bán hàng trong những ngày nghỉ còn người ta chứi	nhưng mà ai biết có được nghỉ không ví dụ cơ quan nhà nước được nghỉ chứ còn ở đây thì siêu thị nó phải bán hàng trong những ngày nghỉ của người ta chứ
tuo tựt điể	ư chết tiệt
gượ chưống tết gì	được thưởng tết gì
bọn cùng phòng tôi nó làm hôm tết dương lịch đấy mà bọn nó bảo là dương lịch là được ba trăm phần trăm mà thấy đến lúc mà trả lương thì có thấy gìgì đâu	bọn cùng phòng tôi nó làm hôm tết dương lịch đấy mà bọn nó bảo là dương lịch là được ba trăm phần trăm mà thấy đến lúc mà trả lương thì có thấy gì đâu
vẫn không thấy không thấy cái gì không thấy ừ về lương luôn mà lương vẫn thế chứ	vẫn không thấy không thấy cái gì không thấy ừ về lương luôn mà lương vẫn thế chứ
thế mới khổ cho nên là tôi có muốn đi làm vào những cái ngày lễ ngày tết đâu mà	thế mới khổ cho nên là tôi có muốn đi làm vào những cái ngày lễ ngày tết đâu mà
đá thế mới đau chứ thì ai đi bây giờ chán chả muốn đi	đó thế mới đau chứ thì ai đi bây giờ chán chả muốn đi
nhưng mà hai chín có rổi không	nhưng mà hai chín có rổi không
ừ	ừ
tới không	tới không
tối vào nhà uống rượu nhé	tối vào nhà uống rượu nhé nhé ai ai
ờai b chăm vợ á	về chăm vợ á
ông o gọi tôi mấy lần khứ nào ấy nhỉ	ông gọi tôi mấy lần khi nào ấy nhỉ
vn à hôm đấy có mỗi lần nà gớm	à hôm đấy có mỗi lần à gớm
ờ mà đến ngày kia đến nhà ông uống rượu thịt chó nhé	nhưng mà đến ngày kia đến nhà ông uống rượu thịt chó nhé
gồ hả	hả
ủn mứ ừ nhà mới mua con chó về phải kiểu hắn chết toi á	ông đấy ừ nhà mới mua con chó về phải kiểu hắn chết toi á
con chó nói chung là con chó nớ cũng già rồi cũng được khoảng tầm tháng rưỡi hai tháng rồi	con chó nói chung là con chó nớ cũng già rồi cũng được khoảng tầm tháng rưỡi hai tháng rồi
hôm đấy đến bổi tháng nhỉ	hôm đấy đến buổi sáng nhỉ đến buổi sáng há ừ thu xếp cái gì ông lúc nào cũng có cái từ thu
